feature,lime_weight
num__is_ftp_login <= -0.12,-0.16797813075553633
num__is_sm_ips_ports <= -0.13,-0.15198980719385013
cat__proto_ddx <= 0.00,-0.12863744997968976
num__ct_ftp_cmd <= -0.12,-0.10336372871822093
cat__proto_ospf > 0.00,-0.0843447208837169
cat__proto_iso-ip <= 0.00,-0.08223993358674027
cat__service_pop3 <= 0.00,-0.07292606261825532
cat__proto_vrrp <= 0.00,-0.05820261913694127
cat__proto_sep <= 0.00,0.03519494366514604
cat__proto_ifmp <= 0.00,0.028536266149565764
cat__proto_ib <= 0.00,0.019972586772857244
cat__proto_vines <= 0.00,-0.016592262870197983
cat__proto_micp <= 0.00,-0.013759285252702487
cat__proto_pim <= 0.00,-0.013494458423995598
cat__proto_ipv6-route <= 0.00,-0.0007678483696491199
