feature,lime_weight
num__is_ftp_login <= -0.12,-0.211369178818997
num__is_sm_ips_ports <= -0.13,-0.1602760423448301
num__ct_ftp_cmd <= -0.12,-0.12598228992485092
cat__proto_cftp <= 0.00,-0.09167866742068422
cat__proto_rsvp <= 0.00,-0.07768069869867089
cat__proto_trunk-2 <= 0.00,-0.048024114346231786
cat__proto_any <= 0.00,0.036168230197515694
cat__proto_vines <= 0.00,0.03385534076469261
cat__proto_ip <= 0.00,0.030192623529761327
cat__proto_arp <= 0.00,-0.029556282249859473
cat__proto_xnet <= 0.00,-0.02579069713045862
cat__proto_egp <= 0.00,0.019611546897885905
cat__proto_tp++ <= 0.00,0.014692963371248941
cat__service_ssh <= 0.00,-0.00458235691505345
cat__proto_vmtp <= 0.00,-0.0022519319941526135
