feature,mean_abs_shap
num__ct_src_dport_ltm,0.002920077616848341
num__dtcpb,0.0023759114889526137
num__dttl,0.0023615045578873088
num__ct_dst_sport_ltm,0.002103924793930557
num__rate,0.0019784821894031266
cat__proto_ospf,0.0018070223605431495
num__ct_dst_ltm,0.001765455257733546
cat__state_CON,0.0017425068960546183
num__dur,0.001507997426053045
num__id,0.0012740941419983394
num__trans_depth,0.0011348726825202043
num__swin,0.000866016260128509
num__dmean,0.0008160703331574438
num__ct_src_ltm,0.0007453293226118285
num__dload,0.0006596425686926839
num__ackdat,0.0006478719440507359
num__ct_flw_http_mthd,0.0006453603507747058
cat__proto_udp,0.0005974988260072897
num__sjit,0.0005812988044970437
cat__service_http,0.0005359674320550733
num__sinpkt,0.0005234324115066949
num__sttl,0.00036996289439290966
cat__service_dns,0.00036391601824680613
cat__service_-,0.00034646615879961595
num__dloss,0.0003239006726592619
num__ct_dst_src_ltm,0.00032320802584056505
num__synack,0.0002836200956049426
cat__service_smtp,0.0002171131246046521
num__tcprtt,0.00020961774100540013
cat__proto_tcp,0.00018969768075186854
cat__state_REQ,0.00016028723258055725
num__ct_state_ttl,0.00015947239569564324
num__ct_srv_dst,0.0001398312994182186
num__is_sm_ips_ports,9.108532260219679e-05
num__dwin,8.696288329845777e-05
num__stcpb,6.990447534293096e-05
cat__service_ftp-data,5.608582597391788e-05
num__djit,1.5717465058601386e-05
num__response_body_len,0.0
num__ct_ftp_cmd,0.0
cat__proto_3pc,0.0
num__ct_srv_src,0.0
num__smean,0.0
num__is_ftp_login,0.0
cat__proto_argus,0.0
cat__proto_aris,0.0
cat__proto_arp,0.0
cat__proto_ax.25,0.0
cat__proto_bbn-rcc,0.0
cat__proto_bna,0.0
cat__proto_br-sat-mon,0.0
cat__proto_cbt,0.0
cat__proto_cftp,0.0
cat__proto_chaos,0.0
cat__proto_compaq-peer,0.0
cat__proto_cphb,0.0
cat__proto_cpnx,0.0
cat__proto_a/n,0.0
cat__proto_aes-sp3-d,0.0
cat__proto_any,0.0
num__spkts,0.0
num__dpkts,0.0
num__sload,0.0
num__sloss,0.0
num__dinpkt,0.0
num__dbytes,0.0
num__sbytes,0.0
cat__proto_encap,0.0
cat__proto_emcon,0.0
cat__proto_eigrp,0.0
cat__proto_egp,0.0
cat__proto_dgp,0.0
cat__proto_ddx,0.0
cat__proto_ddp,0.0
cat__proto_dcn,0.0
cat__proto_crudp,0.0
cat__proto_crtp,0.0
cat__proto_fire,0.0
cat__proto_etherip,0.0
cat__proto_gmtp,0.0
cat__proto_gre,0.0
cat__proto_hmp,0.0
cat__proto_fc,0.0
cat__proto_igp,0.0
cat__proto_il,0.0
cat__proto_ip,0.0
cat__proto_ipcomp,0.0
cat__proto_ipcv,0.0
cat__proto_ipip,0.0
cat__proto_iplt,0.0
cat__proto_ggp,0.0
cat__proto_iatp,0.0
cat__proto_ib,0.0
cat__proto_icmp,0.0
cat__proto_idpr,0.0
cat__proto_idpr-cmtp,0.0
cat__proto_idrp,0.0
cat__proto_ifmp,0.0
cat__proto_i-nlsp,0.0
cat__proto_irtp,0.0
cat__proto_isis,0.0
cat__proto_iso-tp4,0.0
cat__proto_iso-ip,0.0
cat__proto_l2tp,0.0
cat__proto_larp,0.0
cat__proto_leaf-1,0.0
cat__proto_kryptolan,0.0
cat__proto_merit-inp,0.0
cat__proto_mfe-nsp,0.0
cat__proto_mhrp,0.0
cat__proto_micp,0.0
cat__proto_mobile,0.0
cat__proto_mtp,0.0
cat__proto_mux,0.0
cat__proto_leaf-2,0.0
cat__proto_narp,0.0
cat__proto_netblt,0.0
cat__proto_nsfnet-igp,0.0
cat__proto_nvp,0.0
cat__proto_pgm,0.0
cat__proto_pim,0.0
cat__proto_pipe,0.0
cat__proto_ipnip,0.0
cat__proto_ippc,0.0
cat__proto_ipv6,0.0
cat__proto_ipv6-frag,0.0
cat__proto_ipv6-no,0.0
cat__proto_ipv6-opts,0.0
cat__proto_ipv6-route,0.0
cat__proto_ipx-n-ip,0.0
cat__proto_igmp,0.0
cat__proto_rsvp,0.0
cat__proto_rdp,0.0
cat__proto_qnx,0.0
cat__proto_pvp,0.0
cat__proto_pup,0.0
cat__proto_ptp,0.0
cat__proto_prm,0.0
cat__proto_pri-enc,0.0
cat__proto_pnni,0.0
cat__proto_secure-vmtp,0.0
cat__proto_rtp,0.0
cat__proto_rvd,0.0
cat__proto_sccopmce,0.0
cat__proto_scps,0.0
cat__proto_sat-expak,0.0
cat__proto_sat-mon,0.0
cat__proto_sps,0.0
cat__proto_sprite-rpc,0.0
cat__proto_stp,0.0
cat__proto_srp,0.0
cat__proto_sun-nd,0.0
cat__proto_swipe,0.0
cat__proto_tcf,0.0
cat__proto_st2,0.0
cat__proto_tlsp,0.0
cat__proto_sep,0.0
cat__proto_skip,0.0
cat__proto_sm,0.0
cat__proto_smp,0.0
cat__proto_snp,0.0
cat__proto_sctp,0.0
cat__proto_sdrp,0.0
cat__proto_vines,0.0
cat__proto_uti,0.0
cat__proto_unas,0.0
cat__proto_ttp,0.0
cat__proto_trunk-1,0.0
cat__proto_trunk-2,0.0
cat__proto_tp++,0.0
cat__proto_visa,0.0
cat__proto_xns-idp,0.0
cat__proto_xnet,0.0
cat__proto_wsn,0.0
cat__proto_wb-mon,0.0
cat__service_dhcp,0.0
cat__proto_vmtp,0.0
cat__proto_vrrp,0.0
cat__proto_wb-expak,0.0
cat__service_ftp,0.0
cat__proto_xtp,0.0
cat__proto_zero,0.0
cat__service_pop3,0.0
cat__service_radius,0.0
cat__service_snmp,0.0
cat__service_ssh,0.0
cat__service_irc,0.0
cat__service_ssl,0.0
cat__state_ECO,0.0
cat__state_INT,0.0
cat__state_FIN,0.0
cat__state_PAR,0.0
cat__state_RST,0.0
cat__state_URN,0.0
cat__state_no,0.0
