feature,shap_value,absolute_shap,processed_value
cat__state_CON,-0.0035303088793958892,0.0035303088793958892,0.0
num__ct_dst_sport_ltm,-0.002996559322448801,0.002996559322448801,-0.55437315
num__id,-0.0022427564328844733,0.0022427564328844733,-1.7272401
num__ct_dst_ltm,-0.00187640745841974,0.00187640745841974,-0.6450129
num__dtcpb,-0.001619017790172956,0.001619017790172956,-0.7155688
num__sinpkt,-0.0015702972345200848,0.0015702972345200848,-0.12944242
num__ct_src_ltm,-0.0010460754681994083,0.0010460754681994083,-0.7157137
cat__service_-,-0.0010393984763988479,0.0010393984763988479,1.0
num__sttl,0.001109888683178729,0.001109888683178729,0.723268
num__dttl,0.0011585229197408273,0.0011585229197408273,-0.7204059
num__dmean,0.0014473765593786463,0.0014473765593786463,-0.48070282
cat__service_http,0.0016079022961652198,0.0016079022961652198,0.0
num__rate,0.0016570037105633592,0.0016570037105633592,-0.5766946
num__swin,0.002598048780385527,0.002598048780385527,-0.91540736
cat__proto_ospf,0.005421067081629449,0.005421067081629449,1.0
