feature,shap_value,absolute_shap,processed_value
num__ct_src_dport_ltm,-0.004884069472414494,0.004884069472414494,-0.54473644
num__ct_dst_sport_ltm,-0.00331521505934287,0.00331521505934287,-0.55437315
num__dload,-0.0019789277060780516,0.0019789277060780516,-0.27720812
num__rate,-0.001592337381589163,0.001592337381589163,-0.027189136
num__ct_src_ltm,-0.0011899124996360773,0.0011899124996360773,-0.7157137
num__ct_dst_ltm,-0.0009746840613885153,0.0009746840613885153,-0.6450129
num__dttl,-0.0008112534049407967,0.0008112534049407967,-0.7204059
num__dur,-0.0007412785947833401,0.0007412785947833401,-0.20977305
num__trans_depth,-0.0007163702940844999,0.0007163702940844999,-0.1364151
num__ackdat,-0.0005906068616883932,0.0005906068616883932,-0.50301373
num__ct_srv_dst,-0.00041949389825465583,0.00041949389825465583,-0.6601106
num__is_sm_ips_ports,-0.0002732559678065904,0.0002732559678065904,-0.12650797
num__dwin,0.00026088864989537333,0.00026088864989537333,-0.90643156
num__dmean,0.001000834440093685,0.001000834440093685,-0.48070282
cat__proto_udp,0.0014871616280108851,0.0014871616280108851,1.0
