feature,shap_value,absolute_shap,processed_value
num__ct_src_dport_ltm,-0.003876163378130528,0.003876163378130528,-0.54473644
num__dur,-0.003782713683375795,0.003782713683375795,-0.17862879
num__rate,-0.0026861054760568583,0.0026861054760568583,-0.5763699
num__ct_dst_ltm,-0.0024452742533923825,0.0024452742533923825,-0.6450129
num__sjit,-0.001743896413491131,0.001743896413491131,-0.087762296
cat__state_CON,-0.0016972118087679663,0.0016972118087679663,0.0
num__id,-0.0015795259931105448,0.0015795259931105448,-1.7243952
num__ackdat,-0.0013530089704638145,0.0013530089704638145,0.61520904
cat__service_dns,-0.0010917480547404184,0.0010917480547404184,0.0
num__dloss,-0.0009717020179777858,0.0009717020179777858,-0.11279515
num__synack,-0.0008508602868148277,0.0008508602868148277,-0.15256917
num__ct_flw_http_mthd,0.0013307572668776156,0.0013307572668776156,1.2363472
num__trans_depth,0.002688247753476113,0.002688247753476113,1.1507376
num__dttl,0.005114737348980302,0.005114737348980302,1.560002
num__dtcpb,0.0055087166766848855,0.0055087166766848855,2.0325835
