event_id,attack_cat_for_evaluation,true_label_for_evaluation,reconstruction_error,anomaly_threshold,predicted_anomaly,model_confidence,anomaly_magnitude,threat_score,severity
82087,Normal,0,0.06357706,0.031196122989058495,1,1.0,1.0,100.0,Critical
82315,Normal,0,0.095197454,0.031196122989058495,1,1.0,1.0,100.0,Critical
82321,Normal,0,0.095197685,0.031196122989058495,1,1.0,1.0,100.0,Critical
18676,Generic,1,0.07597039,0.031196122989058495,1,1.0,1.0,100.0,Critical
18674,Generic,1,0.090294786,0.031196122989058495,1,1.0,1.0,100.0,Critical
11351,DoS,1,0.17798431,0.031196122989058495,1,1.0,1.0,100.0,Critical
11349,DoS,1,0.17798439,0.031196122989058495,1,1.0,1.0,100.0,Critical
20081,Generic,1,0.06422782,0.031196122989058495,1,1.0,1.0,100.0,Critical
81885,Normal,0,0.08117601,0.031196122989058495,1,1.0,1.0,100.0,Critical
81880,Normal,0,1.5140862,0.031196122989058495,1,1.0,1.0,100.0,Critical
81962,Normal,0,0.07011379,0.031196122989058495,1,1.0,1.0,100.0,Critical
81958,Normal,0,0.14640476,0.031196122989058495,1,1.0,1.0,100.0,Critical
81954,Normal,0,0.24444881,0.031196122989058495,1,1.0,1.0,100.0,Critical
81935,Normal,0,0.102201425,0.031196122989058495,1,1.0,1.0,100.0,Critical
81926,Normal,0,0.29950774,0.031196122989058495,1,1.0,1.0,100.0,Critical
81925,Normal,0,0.3153553,0.031196122989058495,1,1.0,1.0,100.0,Critical
81922,Normal,0,0.5394898,0.031196122989058495,1,1.0,1.0,100.0,Critical
81914,Normal,0,1.6255107,0.031196122989058495,1,1.0,1.0,100.0,Critical
18704,Generic,1,0.07545257,0.031196122989058495,1,1.0,1.0,100.0,Critical
11389,DoS,1,1.1137171,0.031196122989058495,1,1.0,1.0,100.0,Critical
20079,Generic,1,0.07547814,0.031196122989058495,1,1.0,1.0,100.0,Critical
20077,Generic,1,0.06422851,0.031196122989058495,1,1.0,1.0,100.0,Critical
20108,Generic,1,0.063169315,0.031196122989058495,1,1.0,1.0,100.0,Critical
20104,Generic,1,0.06316952,0.031196122989058495,1,1.0,1.0,100.0,Critical
81849,Normal,0,0.808202,0.031196122989058495,1,1.0,1.0,100.0,Critical
81846,Normal,0,0.19341958,0.031196122989058495,1,1.0,1.0,100.0,Critical
18647,Generic,1,0.06681208,0.031196122989058495,1,1.0,1.0,100.0,Critical
18661,Generic,1,0.08631623,0.031196122989058495,1,1.0,1.0,100.0,Critical
81909,Normal,0,0.19135989,0.031196122989058495,1,1.0,1.0,100.0,Critical
81908,Normal,0,0.063749574,0.031196122989058495,1,1.0,1.0,100.0,Critical
81906,Normal,0,0.36045423,0.031196122989058495,1,1.0,1.0,100.0,Critical
81905,Normal,0,0.16517739,0.031196122989058495,1,1.0,1.0,100.0,Critical
81897,Normal,0,0.08171108,0.031196122989058495,1,1.0,1.0,100.0,Critical
81895,Normal,0,0.19730616,0.031196122989058495,1,1.0,1.0,100.0,Critical
11359,DoS,1,0.7468991,0.031196122989058495,1,1.0,1.0,100.0,Critical
20075,Generic,1,0.07547828,0.031196122989058495,1,1.0,1.0,100.0,Critical
20073,Generic,1,0.064229205,0.031196122989058495,1,1.0,1.0,100.0,Critical
20067,Generic,1,0.064230226,0.031196122989058495,1,1.0,1.0,100.0,Critical
11407,DoS,1,0.15438315,0.031196122989058495,1,1.0,1.0,100.0,Critical
11401,DoS,1,15.151372,0.031196122989058495,1,1.0,1.0,100.0,Critical
11400,DoS,1,0.12027293,0.031196122989058495,1,1.0,1.0,100.0,Critical
20125,Generic,1,0.08795084,0.031196122989058495,1,1.0,1.0,100.0,Critical
81814,Normal,0,0.1939344,0.031196122989058495,1,1.0,1.0,100.0,Critical
81813,Normal,0,0.06924,0.031196122989058495,1,1.0,1.0,100.0,Critical
81878,Normal,0,0.45213145,0.031196122989058495,1,1.0,1.0,100.0,Critical
